68,73,36
-92,-66,25
73,74,26
-84,40,50
28,52,16
-84,-11,44
9,35,23
52,-17,27
72,-88,25
-5,-10,17
21,-28,44
59,68,3
0,-91,28
-39,-95,39
-96,59,26
-42,76,14
-21,21,25
-56,60,24
24,-9,40
39,-37,30
-79,69,4
68,35,41
-68,-68,7
-14,54,24
-98,-33,7
-1,-29,40
64,96,48
19,-28,7
43,-7,4
17,68,41
20,-30,39
-48,-31,14
-36,57,38
-82,0,30
90,72,38
57,-18,8
0,-79,36
65,6,25
-81,-61,26
-25,20,46
-62,-34,36
27,-53,20
81,2,47
13,-3,8
-82,-91,42
-38,-40,8
2,-62,25
-16,2,33
19,88,17
82,-86,24
-89,-25,28
-64,91,39
25,-74,23
-77,-100,20
74,-57,13
-47,-67,12
89,90,45
81,74,7
27,56,48
-96,-31,37
52,92,1
-26,-7,13
-40,-55,50
-97,-91,40
19,86,6
18,-36,39
-2,-73,6
-42,52,8
-66,16,47
-24,97,28
-7,21,48
21,62,44
-14,54,6
47,-88,20
-30,-34,46
-83,-33,19
-64,-18,28
62,57,36
54,19,31
50,23,6
11,69,1
-58,-14,29
77,63,28
-77,-64,6
-81,3,8
79,7,22
-63,-17,22
34,-85,14
-26,6,28
-22,37,45
-68,77,2
62,72,45
22,21,1
-72,26,16
6,70,24
53,10,6
81,-68,39
-6,-30,34
97,12,47
13,-51,22
100,89,23
-47,71,13
66,89,25
83,-29,21
-41,-70,1
35,15,40
26,-46,39
94,87,46
-73,51,9
40,78,38
55,97,13
-55,28,44
-1,-47,24
86,-4,48
-51,-40,18
11,22,41
34,50,27
37,-98,10
0,-60,41
-39,-7,6
-43,30,3
-78,72,1
-31,65,22
-13,-31,24
-33,92,1
-43,-24,5
-48,-24,30
0,-41,8
2,17,7
-18,49,34
-27,28,24
-37,-58,4
-1,74,35
28,-77,49
34,64,49
-72,-99,47
78,63,28
39,-91,14
-43,-47,49
-35,88,1
39,-40,10
45,84,27
89,-67,26
42,76,48
-5,68,39
51,-88,9
83,-13,14
35,-23,33
54,-74,28
-2,66,42
-73,-85,16
82,-32,13
-45,82,24
-60,-8,2
-30,-26,10
3,31,36
-13,11,9
4,-29,41
47,-93,43
-22,-82,23
-43,21,15
-62,81,11
-88,-70,11
-78,31,48
48,-83,4
-26,-50,21
-45,38,3
69,-31,20
55,-94,3
-72,37,30
84,-76,15
69,54,10
-84,-14,31
